Country,Latitude,Longitude,Participations
Argentina,-34.9964963,-64.9672817,21
Australia,-24.7761086,134.755,164
Austria,47.59397,14.12456,20
Belgium,50.6402809,4.6667145,44
Brazil,-10.3333333,-53.2,37
Bulgaria,42.6073975,25.4856617,54
Canada,61.0666922,-107.991707,71
China,35.000074,104.999927,263
Cuba,23.0131338,-80.8328748,84
Czechoslovakia,14.480176,121.0392436,49
Denmark,55.670249,10.3333283,48
Ethiopia,10.2116702,38.6521203,23
Finland,63.2467777,25.9209164,101
France,46.603354,1.8883335,223
Germany,51.1638175,10.4478313,201
East Germany,48.9601408,9.1301455,153
West Germany,50.0980486,8.546222066188694,56
Great Britain,54.3151594,-1.9181532111487878,284
Greece,38.9953683,21.9877132,35
Hungary,47.1817585,19.5060937,181
Iran,32.6475314,54.5643516,24
Italy,42.6384261,12.674297,217
Jamaica,18.1850507,-77.3947693,26
Japan,36.5748441,139.2394179,169
Kenya,1.4419683,38.4313975,35
South Korea,36.638392,127.6961188,96
Netherlands,52.2434979,5.6343227,95
New Zealand,-41.5000831,172.8344077,53
Norway,61.1529386,8.7876653,61
Poland,52.215933,19.134422,72
Romania,45.9852129,24.6859225,90
Russia,64.6863136,97.7453061,147
Soviet Union,48.2582473,14.5007542,395
ROC ,48.8279552,-0.0163481,20
South Africa,-28.8166236,24.991639,27
Spain,39.3260685,-4.8379791,48
Sweden,59.6749712,14.5208584,147
Switzerland,46.7985624,8.2319736,53
Turkey,38.9597594,34.9249653,41
Ukraine,49.4871968,31.2718321,35
United States,39.7837304,-100.445882,1061
Yugoslavia,23.04123655,-81.52614194734898,26
